source_image,confidence,is_low_confidence,initial_exam_room,return_room,sequence,room_code,room_name,description,note,queue_number
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,1,A209,PK Nội tiết 1,PK Nội tiết 1 - - Tầng 2 - Khu A,,
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,2,A304,Phòng lấy máu 2,lấy máu 2 - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,3,A307,Phòng XN nước tiểu,XN nước tiểu - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,4,A310,Phòng điện tim ECG,điện tim - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,5,A314,Phòng X-quang 1,X-quang 1 - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,6,A309,Phòng trả KQ xét nghiệm,trả KQ xét nghiệm - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu1.jpg,0.9675080635648303,False,A209,A209,7,A228,Phòng đọc KQ tổng hợp 1,đọc KQ tổng hợp 1 - - Tầng 2 - Khu A,,
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,1,A109,Phòng tư vấn khám theo yêu cầu,Tư vấn theo yêu cầu,"Tư vấn theo yêu cầu. Ghi chu: ban đầu, ưu tiên hỗ trợ xe lăn",05
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,2,A226,Phòng đo sinh hiệu,Đo sinh hiệu,Đo sinh hiệu. Ghi chu: Thực hiện trước khi vào chuyên khoa,11
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,3,A211,PK Cơ xương khớp 1,chuyên khoa Cơ xương khớp,chuyên khoa Cơ xương khớp. Ghi chu: Bác sĩ thăm và chỉ định cận lâm sàng,23
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,4,A314,Phòng X-quang 1,Chụp X-quang 1,Chụp X-quang 1. Ghi chu: Chờ gọi theo STT,34
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,5,A320,Phòng đo mật độ xương,Đo mật độ xương,Đo mật độ xương. Ghi chu: Làm theo hướng dẫn của nhân viên,17
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,6,A228,Phòng đọc KQ tổng hợp 1,Đọc KQ tổng hợp 1,Đọc KQ tổng hợp 1. Ghi chu: Gom đủ kết quả trước khi quay lại,08
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,7,A212,PK Cơ xương khớp 2,Tái Cơ xương khớp,Tái Cơ xương khớp. Ghi chu: Bác sĩ xem kết quả và tư vấn điều trị,06
data/reference/phieukham/phieu2.jpg,0.9728657173607222,False,A211,A211,8,A323,Phòng nghỉ sau thủ thuật,,,
data/reference/phieukham/phieu3.jpg,0.9767747816143573,False,A205,A205,1,A205,PK Hô hấp 1,chuyên khoa Hô hấp,chuyên khoa Hô hấp. Ghi chu: Bác sĩ ban đầu,22
data/reference/phieukham/phieu3.jpg,0.9767747816143573,False,A205,A205,2,A316,Phòng CT mô phỏng,Chụp X- quang ngực thẳng,Chụp X- quang ngực thẳng. Ghi chu: Chờ gọi theo STT,44
data/reference/phieukham/phieu3.jpg,0.9767747816143573,False,A205,A205,3,A227,Phòng đọc KQ tổng hợp 2,Đọc KQ tổng hợp,Đọc KQ tổng hợp. Ghi chu: Mang đủ kết quả,16
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,1,A209,PK Nội tiết 1,PK Nội tiết 1 - - Tầng 2 - Khu A,,
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,2,A304,Phòng lấy máu 2,lấy máu 2 - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,3,A307,Phòng XN nước tiểu,XN nước tiểu - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,4,A310,Phòng điện tim ECG,điện tim - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,5,A314,Phòng X-quang 1,X-quang 1 - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,6,A309,Phòng trả KQ xét nghiệm,trả KQ xét nghiệm - - Tầng 3 - Khu A,,
data/reference/phieukham/phieu4.jpg,0.9706808851175384,False,A209,A209,7,A228,Phòng đọc KQ tổng hợp 1,đọc KQ tổng hợp 1 - - Tầng 2 - Khu A,,
data/reference/phieukham/phieu5.jpg,0.9674600285521894,False,A209,A209,1,A304,Phòng lấy máu 2,Lấy máu xét nghiệm,Lấy máu xét nghiệm. Ghi chu: Thực hiện theo chỉ định trước,19
data/reference/phieukham/phieu5.jpg,0.9674600285521894,False,A209,A209,2,A209,PK Nội tiết 1,chuyên khoa Nội tiết,chuyên khoa Nội tiết. Ghi chu: Bác sĩ đọc kết quả ban đầu,31
data/reference/phieukham/phieu5.jpg,0.9674600285521894,False,A209,A209,3,A312,Phòng siêu âm tổng quát 2,Siêu âm tuyến giáp,Siêu âm tuyến giáp. Ghi chu: Thực hiện theo chỉ định của bác sĩ,18
data/reference/phieukham/phieu6.jpg,0.9825261657515051,False,A203,A203,1,A203,PK Tim mạch 1,chuyên khoa Tim mạch,chuyên khoa Tim mạch. Ghi chu: Bác sĩ ban đầu,18
data/reference/phieukham/phieu6.jpg,0.9825261657515051,False,A203,A203,2,A310,Phòng điện tim ECG,Điện tim đồ (ECG),Điện tim đồ (ECG). Ghi chu: Không cần nhịn ăn,07
data/reference/phieukham/phieu6.jpg,0.9825261657515051,False,A203,A203,3,A228,Phòng đọc KQ tổng hợp 1,Đọc KQ tổng hợp 1,Đọc KQ tổng hợp 1. Ghi chu: Mang đầy đủ kết quả,12
