,,,,,,,,,,,,,,
room_id,floor,zone,room_name,display_name,function,color_group,poi_type,is_patient_destination,wheelchair_accessible,accessibility_note,service_flow,voice_aliases,ocr_keywords,notes
A101,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy hướng dẫn,A101 - Quầy hướng dẫn,"Hỏi đường, hỗ trợ chung",Hành chính / tiếp nhận,guidance,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"hướng dẫn, hỏi đáp, giải đáp thắc mắc, hỏi đường, xử lý dịch vụ, nhu cầu, quầy tiếp đón, hỏi thông tin, bàn hướng dẫn, quầy thông tin, tiếp tân, hướng dẫn bệnh nhân, quầy chỉ dẫn, thủ tục, chỉ giúp",Quầy hướng dẫn,
A102,1,Tầng 1 - Tiếp nhận & dịch vụ,Kiosk lấy số,A102 - Kiosk lấy số,Lấy số khám,Hành chính / tiếp nhận,kiosk,Có,TRUE,"Đặt tại khu sảnh, xe lăn có thể tiếp cận; nếu khó thao tác có thể đến quầy hướng dẫn.",standard_flow;insurance_flow;service_flow;priority_support_flow,"kiosk lấy số, máy lấy số, số xếp hàng, số thứ tự khám, máy lấy số thứ tự, lấy phiếu, máy tự phục vụ, làm thủ tục, tự đăng ký, check-in",Kiosk lấy số,
A103,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy xác thực CCCD/VNeID,A103 - Quầy xác thực CCCD/VNeID,Xác minh thông tin,Hành chính / tiếp nhận,identity,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"xác thực cccd/vneid, giấy tờ căn cước, xác thực thông tin, quét căn cước công dân",Quầy xác thực CCCD/VNeID,
A104,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy đăng ký 1,A104 - Quầy đăng ký 1,Tiếp nhận khám,Hành chính / tiếp nhận,registration,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"đăng ký 1, đăng ký khám bệnh, đăng ký dịch vụ, tư vấn gói khám, khám bác sĩ riêng, tiếp nhận, ghi tên khám, mở hồ sơ, đăng ký khám, làm thủ tục",Quầy đăng ký 1,
A105,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy đăng ký 2,A105 - Quầy đăng ký 2,Tiếp nhận khám,Hành chính / tiếp nhận,registration,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"đăng ký 2, đăng ký khám bệnh, đăng ký dịch vụ, tư vấn gói khám, khám bác sĩ riêng, tiếp nhận, ghi tên khám, mở hồ sơ, đăng ký khám, làm thủ tục",Quầy đăng ký 2,
A106,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy đăng ký 3,A106 - Quầy đăng ký 3,Tiếp nhận khám,Hành chính / tiếp nhận,registration,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"đăng ký 3, đăng ký khám bệnh, đăng ký dịch vụ, tư vấn gói khám, khám bác sĩ riêng, tiếp nhận, ghi tên khám, mở hồ sơ, đăng ký khám, làm thủ tục",Quầy đăng ký 3,
A107,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy BHYT 1,A107 - Quầy BHYT 1,Kiểm tra thẻ,Hành chính / tiếp nhận,insurance,Có,TRUE,"Có thể đến bằng sảnh hoặc hành lang rộng; phù hợp bệnh nhân BHYT, người cao tuổi và xe lăn.",insurance_flow;priority_support_flow,"bhyt 1, bảo hiểm y tế, tư vấn bảo hiểm, khám bảo hiểm y tế, bảo hiểm",Quầy BHYT 1,
A108,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy BHYT 2,A108 - Quầy BHYT 2,Kiểm tra thẻ,Hành chính / tiếp nhận,insurance,Có,TRUE,"Có thể đến bằng sảnh hoặc hành lang rộng; phù hợp bệnh nhân BHYT, người cao tuổi và xe lăn.",insurance_flow;priority_support_flow,"bhyt 2, bảo hiểm y tế, tư vấn bảo hiểm, khám bảo hiểm y tế, bảo hiểm ",Quầy BHYT 2,
A109,1,Tầng 1 - Tiếp nhận & dịch vụ,Phòng tư vấn khám theo yêu cầu,A109 - Phòng tư vấn khám theo yêu cầu,Tư vấn khám,Hỗ trợ / Dịch vụ,consulting,Có,TRUE,Có thể đến bằng hành lang rộng; phù hợp người cao tuổi và xe lăn.,"service_flow;priority_support_flow
","tư vấn khám theo yêu cầu, tư vấn khám, phòng tư vấn, khám dịch vụ, khám theo yêu cầu, tư vấn khám bệnh, đăng ký khám dịch vụ",Phòng tư vấn khám theo yêu cầu,
A110,1,Tầng 1 - Tiếp nhận & dịch vụ,Quầy trả kết quả giấy tờ,A110 - Quầy trả kết quả giấy tờ,Trả/nhận hồ sơ,Hành chính / tiếp nhận,document,Có,TRUE,,standard_flow;insurance_flow;service_flow;priority_support_flow,"trả kết quả giấy tờ, lấy kết quả, trả kết quả, khám xong, thông báo kết quả, kết quả khám",Quầy trả kết quả giấy tờ,
